word	word_frequency
trump	1052
twitter	979
pic	502
hillary	382
america	376
donald	347
people	329
www	323
poll	298
cruz	238
donaldtrump	236
president	217
facebook	200
clinton	187
tonight	179
vote	171
time	169
debate	168
rubio	159
crooked	156
status	152
country	146
news	145
ted	145
iowa	143
night	143
win	139
posts	137
jeb	135
bad	131
watch	131
love	130
nice	121
job	120
crowd	116
polls	116
campaign	115
amazing	111
wow	110
bush	109
media	108
support	108
enjoy	106
tomorrow	103
interviewed	97
ly	95
republican	95
totally	91
interview	90
hampshire	89
marco	89
obama	89
gop	87
join	86
carolina	85
speech	85
carson	83
jobs	83
morning	82
